name,company_founded,industry,company_type,location,wealth_worth_in_billions,wealth_how_industry,type_of_investor,number_of_deals,portfolio_size,website,most_recent_deal
Anthony Pritzker,1957,hotels,aquired,North America,3.1,Real Estate,angel,0,0,,
"Anton Kathrein, Jr.",1919,antennas,new,Europe,1.4,Consumer,angel,0,0,,
John Mars,1911,candy,new,North America,20,Consumer,angel,0,0,,
Antonia Johnson,1873,trade investment,new,Europe,8.5,Diversified financial,angel,0,0,,
Antonio Del Valle Ruiz,1998,chemicals,aquired,Latin America,5,Non-consumer industrial,angel,0,0,,
Antonio Ermirio de Moraes,1919,"metals, paper, cement",new,Latin America,3.1,Diversified financial,angel,0,0,,
Antonio Luiz Seabra,1969,cosmetics,new,Latin America,2.1,Consumer,angel,0,0,,
Antti Herlin,1910,"elevators, escalators, engineering",aquired,Europe,3.3,Non-consumer industrial,angel,0,0,,
Archie Aldis Emmerson,1949,"lumber, real estate",new,North America,3.1,Mining and metals,angel,0,0,,
Aristotelis Mistakidis,1974,mining,new,Europe,2.5,Mining and metals,angel,0,0,,
Arkady Rotenberg,1930,construction,"new, privitization",Europe,4,Constrution,angel,0,0,,
Arkady Volozh,1997,internet,new,Europe,1.7,Technology-Computer,angel,0,0,,
Arne Wilhelmsen,1969,cruises,new,Europe,2,"Retail, Restaurant",angel,0,0,,
Arnon Milchan,1991,movies,new,Middle East/North Africa,4.7,Media,angel,0,0,,
Arthur Blank,1979,retail,new,North America,1.8,"Retail, Restaurant",angel,0,0,,
Arturo Moreno,1947,advertising,new,North America,1.3,Real Estate,angel,0,0,,
Asok Kumar Hiranandani,1947,real estate,new,East Asia,1.2,Real Estate,angel,0,0,,
August Oetker,1891,retail,new,Europe,1.7,Consumer,angel,0,0,,
August von Finck,1890,banking/insurance,new,Europe,8.3,Diversified financial,angel,0,0,,
Augusto & Giorgio Perfetti,1946,candy,new,Europe,7.2,Consumer,angel,0,0,,
"Austen Cargill, II.",1865,food processing/commodities,new,North America,3.2,Money Management,angel,0,0,,
Axel Oberwelland,1903,candy,new,Europe,3.7,Consumer,angel,0,0,,
Aydin Dogan,1961,media,new,Middle East/North Africa,1.1,Media,angel,0,0,,
