name,company_founded,industry,company_type,location,wealth_worth_in_billions,wealth_how_industry,type_of_investor,number_of_deals,portfolio_size,website,most_recent_deal
Safa Rashtchy,,food & beverages,,Bay Area,,,angel,0,0,angel.co/safa-rashtchy,2014-07-01
James Joaquin,,food & beverages,,Bay Area,,,angel,0,0,angel.co/james-joaquin,2014-09-17
Mosaic Capital Partners,,food & beverages,,Toronto,,,vc,0,0,mosaicvp.com,2014-10-07
DBL Investors,,food & beverages,,Bay Area,,,vc,0,0,dblinvestors.com,2017-10-06
IDEA Fund Partners,,food & beverages,,Raleigh,,,vc,0,0,ideafundpartners.com,2018-10-18
Columbus Nova Technology Partners,,food & beverages,,Bay Area,,,vc,0,0,cntp.com,2017-07-12
Split Rock Partners,,food & beverages,,Eden Prarie,,,vc,0,0,splitrock.com,2017-11-14
Huron River Ventures,,food & beverages,,Detroit,,,vc,0,0,huronrivervc.com,2018-01-09
Rubicon Venture Capital,,food & beverages,,Bay Area,,,vc,0,0,rubicon.vc,2018-08-27
Atlas Venture,,food & beverages,,Boston,,,vc,415,236,atlasventure.com,2020-09-10
Boston Seed Capital,,food & beverages,,Boston,,,vc,0,0,bostonseed.com,2020-07-23
TomorrowVentures,,food & beverages,,Bay Area,,,vc,0,0,tomorrowvc.com,2016-09-29
Joanne Wilson,,food & beverages,,New York,,,angel,0,0,angel.co/thegothamgal,2017-04-12
Sharky Laguana,,food & beverages,,Bay Area,,,angel,0,0,,2012-09-12
Morningside Group,,food & beverages,,Shanghai,,,vc,165,101,morningside.com,2020-03-03
Point Nine Capital,,food & beverages,,Berlin,,,vc,165,113,pointninecap.com,2020-09-07
Global Brain Corporation,,food & beverages,,Tokyo,,,vc,0,0,globalbrains.co.jp,2020-07-21
Luc Levesque,,food & beverages,,Ottawa,,,angel,0,0,,2018-05-02
Matter.VC,,food & beverages,,Bay Area,,,vc,0,0,matter.vc,2017-02-15
General Catalyst Partners,,food & beverages,,Boston,,,vc,530,321,generalcatalyst.com,2020-06-23
Carlos Ardila Lulle,1904,soft drinks,aquired,Latin America,2.4,Consumer,angel,,,,
Carlos Francisco Ribeiro Jereissati,1966,shopping centers,new,Latin America,1.3,Real Estate,angel,,,,
Carlos Hank Rhon,1992,banking,new,Latin America,2,Money Management,angel,,,,
Carlos Martins,1987,education,new,Latin America,1,Other,angel,,,,
Carlos Rodriguez-Pastor,1994,banking,privatization,Latin America,1.8,Money Management,angel,,,,
Carlos Slim Helu,1990, Communications,privatization,Latin America,72,Media,angel,,,,
Carol Jenkins Barnett,1930,groceries,new,North America,1.2,"Retail, Restaurant",angel,,,,
Carrie Perrodo,1975,oil,new,Europe,10,Other,angel,,,,
Catherine Lozick,1947,manufacturing,new,North America,2,Non-consumer industrial,angel,,,,
Cesar Mata Pires,1976,construction,new,Latin America,1.6,Constrution,angel,,,,
Chairul Tanjung,1987,investment banking,new,East Asia,4,Diversified financial,angel,,,,
Chan Laiwa,1988,real estate,new,East Asia,6,Real Estate,angel,,,,
Chanchai Ruayrungruang,1984,real estate,new,East Asia,2,Consumer,angel,,,,
Chandru Raheja,1956,real estate,new,South Asia,1.9,Real Estate,angel,,,,
Chang Pyung-Soon,1985,education,new,East Asia,1,Other,angel,,,,
Chang Yung Fa,1961,shipping,new,East Asia,1.5,Other,angel,,,,
Chao Teng-Hsiung,1969,real estate,new,East Asia,1.8,Real Estate,angel,,,,
Charlene de Carvalho-Heineken,1864,beer,new,Europe,10.4,Consumer,angel,,,,
Charles Brandes,1974,investment banking,new,North America,1.1,Money Management,angel,,,,
Charles Bronfman,1857,liquor,new,North America,2.1,Consumer,angel,,,,
Charles Butt,1905,groceries,new,North America,10.1,"Retail, Restaurant",angel,,,,
Charles Cadogan,1712,real estate,new,Europe,6.9,Real Estate,angel,,,,
Charles Dolan,1972,media,new,North America,3.7,Media,angel,,,,
Charles Dunstone,1989,cell phones,new,Europe,2.5,Consumer,angel,,,,
Charles Ergen,1980,media,new,North America,15,Media,angel,,,,
Charles Johnson,1947,mutal funds,new,North America,7.5,Money Management,angel,,,,
Charles Koch,1940,  Oil refining,new,North America,40,Diversified financial,angel,,,,
Charles Munger,1839, Finance,aquired,North America,1.1,Consumer,angel,,,,
Charles Schwab,1971,brokerage/banking,new,North America,5.8,Money Management,angel,,,,
Charles Simonyi,1975,software,new,North America,1.3,Technology-Computer,angel,,,,
Charles Zegar,1981, finance, new,North America,1.3,Media,angel,,,,
Charoen Sirivadhanabhakdi,1941,alcohol,privatization,East Asia,9,Consumer,angel,,,,
"Chase Coleman, III.",2000,hedge funds,new,North America,1.6,Hedge funds,angel,,,,
Che Fengsheng,2001,pharmaceuticals,new,East Asia,1.8,Technology-Medical,angel,,,,
Chee Chen Tung,1969,shipping,new,East Asia,2.8,Other,angel,,,,
Chen Bang,0,hospitals,new,East Asia,1.3,Real Estate,angel,,,,
QiMing Venture Partners,,food & beverages,,Shanghai,,,vc,0,0,qimingventures.com,2020-09-10
Actis,,food & beverages,,London,,,vc,0,0,act.is,2018-03-13
3i Group,,food & beverages,,London,,,vc,0,0,3i.com,2017-07-05
FinSight Ventures,,food & beverages,,New York,,,vc,0,0,finsightvc.com,2017-12-14
Toba Capital,,food & beverages,,Bay Area,,,vc,0,0,tobacapital.com,2020-09-03
Sigma Partners,,food & beverages,,Bay Area,,,vc,276,135,sigmapartners.com,2018-12-13
H-FARM Ventures,,food & beverages,,Roncade,,,vc,0,0,h-farmventures.com,2018-01-24
Mattias Miksche,,food & beverages,,Stockholm,,,angel,0,0,,2016-06-29
Oak Investment Partners,,food & beverages,,Norwalk,,,vc,251,148,oakvc.com,2018-06-04
Spring Singapore,,food & beverages,,Singapore,,,vc,0,0,spring.gov.sg,2015-07-14
Mumbai Angels,,food & beverages,,Mumbai,,,other,0,0,mumbaiangels.com,2018-09-19
Russell Siegelman,,food & beverages,,Bay Area,,,angel,0,0,angel.co/russsiegelman,2017-02-08
Hasso Plattner Ventures,,food & beverages,,Potsdam,,,vc,0,0,hp-ventures.com,2018-08-21
